,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
42,-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,0.7439102367289899,<1H OCEAN
43,-122.32,37.94,47.0,1911.0,283.0,697.0,275.0,6.2712,-1.3526869508289296,NEAR BAY
44,-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,0.7385649604758351,<1H OCEAN
45,-117.96,34.14,33.0,1994.0,405.0,993.0,403.0,3.766,0.9534750393643998,INLAND
46,-117.55,34.0,17.0,3583.0,700.0,1587.0,719.0,2.6979,1.1112356226117475,INLAND
47,-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,-1.3369508571864637,NEAR BAY
48,-117.43,34.07,18.0,2453.0,537.0,1503.0,500.0,2.3768,1.107988492177587,INLAND
49,-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,1.1640389590564746,<1H OCEAN
50,-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,-0.7142511516202239,INLAND
51,-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,-1.5142441788916035,INLAND
52,-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,-1.334552976250467,NEAR OCEAN
53,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,1.2193900439956948,<1H OCEAN
54,-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,0.5776072026471617,NEAR OCEAN
55,-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,1.2119466219235426,NEAR OCEAN
56,-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,-1.3489402618664386,NEAR BAY
57,-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,-1.3485905708966062,NEAR BAY
58,-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,-1.345842998990779,NEAR BAY
59,-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,-1.6538208317076561,<1H OCEAN
60,-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,1.1820230660764381,NEAR OCEAN
61,-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,0.6081302287282647,<1H OCEAN
62,-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,-1.2364896371388332,NEAR OCEAN
63,-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,-1.4110353869381467,NEAR OCEAN
64,-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,0.9954379557443158,INLAND
65,-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,0.6671280909243127,<1H OCEAN
66,-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,-0.8822027288455496,INLAND
67,-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,-0.7301870686740258,INLAND
68,-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,-0.16553606410000246,<1H OCEAN
69,-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,-1.3966481013221768,NEAR BAY
70,-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,-1.245181955531816,NEAR OCEAN
71,-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,0.651741688251677,<1H OCEAN
72,-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,0.6593349778823284,<1H OCEAN
73,-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,0.6856617123254424,<1H OCEAN
74,-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,0.47235022072754196,<1H OCEAN
75,-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,0.9943389269819848,INLAND
76,-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,0.6584357725313312,<1H OCEAN
77,-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,-1.0665897816530114,<1H OCEAN
78,-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,1.194462073431912,NEAR OCEAN
79,-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,0.2497968963554918,INLAND
80,-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,0.9371394754879323,INLAND
81,-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,0.722828866833367,<1H OCEAN
82,-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,1.2280823623886785,<1H OCEAN
83,-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,-1.1527136719375024,INLAND
84,-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,-1.2274975836288526,<1H OCEAN
85,-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,-0.871012617810906,INLAND
86,-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,0.6613831678484914,<1H OCEAN
87,-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,0.656437538418002,<1H OCEAN
88,-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,-1.3569831541725896,NEAR OCEAN
89,-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,0.7062934795455675,<1H OCEAN
90,-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,-1.3468920719002775,INLAND
91,-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,1.1343651824735332,NEAR OCEAN
92,-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,-1.3334539474881368,NEAR BAY
93,-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,0.6285621725370585,<1H OCEAN
94,-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,-1.0649911943623467,INLAND
95,-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,-0.2997174848100629,NEAR OCEAN
96,-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,0.6283623491257253,<1H OCEAN
97,-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,0.5273516146969291,NEAR OCEAN
98,-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,0.6477951758778511,<1H OCEAN
99,-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,0.6274631437747274,<1H OCEAN
100,-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,0.46575604815355365,NEAR OCEAN
101,-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,0.7404133270306652,<1H OCEAN
102,-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,0.6388031223678703,<1H OCEAN
103,-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,-0.007375834029988385,INLAND
104,-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,-1.1754935408294565,<1H OCEAN
105,-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,0.6687766340678106,<1H OCEAN
106,-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,0.300352219422722,INLAND
107,-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,-0.4486858379587621,<1H OCEAN
108,-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,0.6457469859116906,<1H OCEAN
109,-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,-1.3132717829435114,NEAR BAY
110,-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,1.0867072988706301,INLAND
111,-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,1.015270429319109,<1H OCEAN
112,-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,-0.31095755169754025,INLAND
113,-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,0.9135103570978153,<1H OCEAN
114,-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,-0.8755586004187311,INLAND
115,-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,1.1802746112272735,INLAND
116,-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,-0.00043197048616789484,INLAND
117,-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,-1.2653141642236059,NEAR OCEAN
118,-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,0.6625821083164892,<1H OCEAN
119,-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,1.0695724413488321,INLAND
120,-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,-1.1945267207589183,<1H OCEAN
121,-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,1.1428077216023516,INLAND
122,-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,-0.09969425006580179,NEAR OCEAN
123,-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,0.720430985897372,<1H OCEAN
124,-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,-0.6839779048032836,INLAND
125,-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,1.1397104587266902,<1H OCEAN
126,-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,0.72642568823736,<1H OCEAN
127,-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,1.0159198554059399,INLAND
128,-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,-1.2777531715790837,NEAR BAY
129,-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,-2.2124271780888605,NEAR OCEAN
130,-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,-1.4606415488015458,<1H OCEAN
131,-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,0.8297843477493174,<1H OCEAN
132,-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,0.7279743196751898,<1H OCEAN
133,-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,0.6161731210344162,<1H OCEAN
134,-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,-0.2596029349849774,INLAND
135,-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,0.16047583148967204,INLAND
136,-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,-0.38813934432488245,INLAND
137,-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,-0.9360051823469427,INLAND
138,-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,0.44257653243893486,<1H OCEAN
139,-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,-0.4486858379587625,INLAND
140,-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,0.7466078527819863,<1H OCEAN
141,-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,-1.0307714351715824,INLAND
142,-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,0.8140482541068494,<1H OCEAN
143,-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,-1.1603569174209882,<1H OCEAN
144,-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,-0.9467956465589192,INLAND
145,-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,-0.7387794753613396,INLAND
146,-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,0.7315211852263505,NEAR OCEAN
147,-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,0.8896314594435291,<1H OCEAN
148,-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,0.7773307022744241,<1H OCEAN
149,-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,0.5966903384294556,<1H OCEAN
150,-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,-1.2344414471726706,<1H OCEAN
151,-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,-1.1695987501951344,<1H OCEAN
152,-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,-0.5453004573382316,NEAR OCEAN
153,-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,-0.1522977630991955,INLAND
154,-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,-1.307177168897856,NEAR BAY
155,-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,1.6146407516122299,INLAND
156,-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,-0.754315745592476,INLAND
157,-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,-0.8919441201480308,INLAND
158,-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,-0.757213185056803,INLAND
159,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,-1.3384994886242927,NEAR BAY
160,-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,-1.3935008825936808,NEAR BAY
161,-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,0.66213250564099,<1H OCEAN
162,-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,-1.2594193735892858,INLAND
163,-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,1.1597427557128166,<1H OCEAN
164,-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,0.6893584454351012,<1H OCEAN
165,-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,-1.2809503461604097,NEAR BAY
166,-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,-0.5006399249053224,INLAND
167,-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,0.3113425070460337,INLAND
168,-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,-1.1919789722644234,<1H OCEAN
169,-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,-0.8150121067848524,INLAND
170,-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,1.891546043866835,INLAND
171,-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,0.7637926661566173,<1H OCEAN
172,-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,0.6684269430979781,<1H OCEAN
173,-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,1.2228369978411882,NEAR OCEAN
174,-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,1.7606117535909325,INLAND
175,-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,1.0860079169309655,INLAND
176,-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,-0.9514415408724097,INLAND
177,-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,1.2317291396455048,NEAR OCEAN
178,-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,0.763542886892452,<1H OCEAN
179,-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,0.792517281535726,INLAND
180,-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,0.868000575166739,NEAR OCEAN
181,-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,0.857859537041595,INLAND
182,-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,-1.3833098886157031,NEAR BAY
183,-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,0.9908420172836573,INLAND
184,-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,0.662132505640991,<1H OCEAN
185,-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,-0.8623702552707557,INLAND
186,-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,0.17181581008281668,INLAND
187,-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,-1.2372389749313308,INLAND
188,-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,-0.6708395155081454,INLAND
189,-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,0.6207191036422416,<1H OCEAN
190,-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,0.7390145631513341,<1H OCEAN
191,-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,1.0448942500492135,<1H OCEAN
192,-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,0.1649219023918297,INLAND
193,-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,0.9861961229701665,INLAND
194,-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,0.6325586407637167,<1H OCEAN
195,-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,0.8812388761675457,<1H OCEAN
196,-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,0.8657525617892452,<1H OCEAN
197,-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,0.7515534822124758,<1H OCEAN
198,-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,0.7866224909014043,INLAND
199,-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,-0.7611596974306296,INLAND
200,-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,0.6747713364077977,<1H OCEAN
201,-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,0.2211222368292159,INLAND
202,-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,1.06752425138267,INLAND
203,-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,1.0461931022228788,INLAND
204,-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,1.9058833736299727,INLAND
205,-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,0.9529255249832355,INLAND
206,-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,0.7829757136445782,<1H OCEAN
207,-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,0.24669963347983156,INLAND
208,-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,0.7125379611497208,<1H OCEAN
209,-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,-1.6430303674956779,<1H OCEAN
210,-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,-1.1265368050528892,<1H OCEAN
211,-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,0.6367049765488759,<1H OCEAN
212,-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,-1.2616174311139476,<1H OCEAN
213,-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,0.6148243130079192,<1H OCEAN
214,-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,1.1595928881543165,NEAR OCEAN
215,-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,-0.04164554907358511,INLAND
216,-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,1.1190786915065645,INLAND
217,-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,-0.4743131904622084,NEAR OCEAN
218,-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,0.6751210273776309,<1H OCEAN
219,-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,1.2533600239222955,INLAND
220,-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,0.7220795290408688,<1H OCEAN
221,-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,0.8449709270106217,<1H OCEAN
222,-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,-1.0266250993864232,INLAND
223,-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,0.6939543838957593,<1H OCEAN
224,-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,-1.5672473387476649,<1H OCEAN
225,-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,0.6241161016349007,<1H OCEAN
226,-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,0.707542375866397,<1H OCEAN
227,-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,0.8411243263424617,<1H OCEAN
228,-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,-0.3505725429942927,NEAR OCEAN
229,-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,-1.2587699475024545,NEAR OCEAN
230,-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,-1.3702214551733969,NEAR BAY
231,-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,0.7259760855618612,<1H OCEAN
232,-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,-1.1295341562228836,INLAND
233,-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,-0.050437779172233785,INLAND
234,-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,0.6852121096499431,<1H OCEAN
235,-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,-1.3565335514970902,NEAR OCEAN
236,-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,0.6201695892610755,<1H OCEAN
237,-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,0.6352562568167116,<1H OCEAN
238,-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,0.853962980520601,<1H OCEAN
239,-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,0.6421501645076974,<1H OCEAN
240,-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,-1.3690225147053994,NEAR BAY
241,-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,0.9971864105934778,INLAND
242,-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,0.6789676280457891,<1H OCEAN
243,-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,0.7510539236841427,<1H OCEAN
244,-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,0.7643421805377837,<1H OCEAN
245,-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,0.6653796360751503,<1H OCEAN
246,-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,-1.4205769548292948,NEAR BAY
247,-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,-1.2767040986695846,NEAR BAY
248,-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,0.9366399169596015,INLAND
249,-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,0.7905190474223969,<1H OCEAN
250,-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,0.6544393043046723,<1H OCEAN
251,-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,-0.9314092438862847,INLAND
252,-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,-1.3880556946348603,NEAR OCEAN
253,-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,-1.8012905092713565,<1H OCEAN
254,-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,-1.3200657789288315,NEAR BAY
